0,51,37,41,44,,0
1,48,41,41,45,,0
1,49,41,41,45,,0
1,50,39,39,42,,0
1,51,41,41,44,,0
1,52,40,40,42,,0
1,53,39,40,40,,0
1,54,41,42,41,,0
1,55,48,48,43,,0
1,56,61,61,52,,0
1,57,52,52,43,,0
2,47,50,45,46,,0
2,48,46,42,42,,0
2,49,50,46,45,,0
2,50,43,39,38,,0
2,51,50,46,43,,0
2,52,49,46,42,,0
2,53,54,51,45,,0
2,54,61,57,52,,0
2,55,91,85,75,,0
2,56,120,113,99,,0
2,57,71,65,53,,0
2,58,59,55,45,,0
2,59,57,55,49,,0
2,60,61,62,58,,0
2,61,45,49,48,,0
3,46,51,42,37,,0
3,47,57,46,39,,0
3,48,61,50,44,,0
3,49,58,48,40,,0
3,50,62,51,43,,0
3,51,64,53,44,,0
3,52,73,63,52,,0
3,53,86,76,64,,0
3,54,98,88,76,,0
3,55,120,109,93,,0
3,56,146,135,117,,0
3,57,102,92,75,,0
3,58,88,80,66,,0
3,59,107,100,90,,0
3,60,111,107,99,,0
3,61,68,67,62,,0
3,62,44,44,42,,0
4,44,56,46,37,,0
4,45,57,48,37,,0
4,46,66,50,36,,0
4,47,88,71,56,,0
4,48,102,85,69,,0
4,49,114,97,80,,0
4,50,116,99,81,,0
4,51,113,97,78,,0
4,52,119,102,82,,0
4,53,116,100,79,,0
4,54,115,99,78,,0
4,55,116,100,78,,0
4,56,128,112,91,,0
4,57,111,96,76,,0
4,58,102,88,71,,0
4,59,123,111,96,,0
4,60,116,106,93,,0
4,61,85,76,66,,0
4,62,67,60,52,,0
4,63,63,58,51,,0
4,64,55,50,45,,0
5,42,62,44,33,,0
5,43,61,45,33,,0
5,44,67,52,39,,0
5,45,67,52,38,,0
5,46,74,54,34,,0
5,47,100,78,55,,0
5,48,111,89,66,,0
5,49,128,106,82,,0
5,50,121,100,75,,0
5,51,121,100,73,,0
5,52,122,101,74,,0
5,53,121,100,71,,0
5,54,114,94,65,,0
5,55,110,90,64,,0
5,56,109,91,67,,0
5,57,106,87,65,,0
5,58,101,83,62,,0
5,59,100,84,64,,0
5,60,102,87,70,,0
5,61,108,94,79,,0
5,62,117,104,92,,0
5,63,117,104,92,,0
5,64,105,94,84,,0
5,65,85,77,73,,0
6,41,74,54,40,,0
6,42,70,49,34,,0
6,43,76,56,43,,0
6,44,80,61,47,,0
6,45,80,61,44,,0
6,46,96,71,47,,0
6,47,106,80,54,,0
6,48,120,94,68,,0
6,49,127,102,75,,0
6,50,131,107,77,,0
6,51,133,109,78,,0
6,52,130,107,76,,0
6,53,133,110,78,,0
6,54,127,104,73,,0
6,55,121,100,71,,0
6,56,117,97,72,,0
6,57,113,94,70,,0
6,58,105,87,63,,0
6,59,95,77,55,,0
6,60,101,84,64,,0
6,61,110,93,75,,0
6,62,129,112,95,,0
6,63,139,122,106,,0
6,64,132,117,104,,0
6,65,117,105,98,,0
6,66,103,93,86,,0
7,38,85,68,51,,0
7,39,89,71,52,,0
7,40,83,63,41,,0
7,41,87,65,42,,0
7,42,96,74,51,,0
7,43,101,77,55,,0
7,44,103,77,56,,0
7,45,106,80,60,,0
7,46,118,91,66,,0
7,47,124,98,71,,0
7,48,132,106,80,,0
7,49,138,113,87,,0
7,50,140,116,90,,0
7,51,140,117,92,,0
7,52,140,117,92,,0
7,53,140,117,92,,0
7,54,137,115,91,,0
7,55,133,113,89,,0
7,56,125,108,84,,0
7,57,114,97,74,,0
7,58,111,95,72,,0
7,59,102,86,63,,0
7,60,102,86,65,,0
7,61,109,94,73,,0
7,62,109,94,73,,0
7,63,128,114,94,,0
7,64,135,121,103,,0
7,65,120,106,88,,0
7,66,110,96,78,,0
7,67,101,87,67,,0
7,68,93,79,60,,0
8,38,71,52,35,,0
8,39,91,71,50,,0
8,40,98,76,52,,0
8,41,105,81,57,,0
8,42,112,87,62,,0
8,43,114,88,64,,0
8,44,120,93,71,,0
8,45,129,102,80,,0
8,46,134,109,83,,0
8,47,139,114,88,,0
8,48,145,120,95,,0
8,49,149,125,100,,0
8,50,149,127,103,,0
8,51,150,128,104,,0
8,52,148,128,104,,0
8,53,146,126,102,,0
