R,G,B,,Class
235,228,200,,1
236,228,201,,1
238,227,205,,1
239,228,208,,1
238,227,211,,1
237,229,214,,1
236,227,206,,1
243,229,201,,1
225,208,172,,0
203,182,142,,0
181,158,116,,0
139,113,72,,0
237,223,196,,0
241,227,204,,1
242,228,208,,1
239,227,203,,1
230,219,196,,0
235,225,203,,1
239,230,211,,1
236,229,211,,1
238,232,216,,1
237,234,219,,1
236,234,220,,1
235,234,219,,1
237,235,218,,1
238,235,216,,1
238,234,215,,1
238,233,214,,1
238,233,213,,1
239,233,211,,1
238,232,210,,1
239,231,208,,1
239,231,208,,1
240,230,206,,1
240,230,205,,1
241,231,207,,1
242,231,209,,1
240,232,209,,1
238,232,210,,1
239,232,213,,1
239,234,214,,1
240,235,215,,1
239,236,217,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
239,236,220,,1
238,236,220,,1
238,236,220,,1
238,236,220,,1
238,236,220,,1
238,236,220,,1
239,236,221,,1
236,233,218,,1
239,236,221,,1
238,236,220,,1
239,237,221,,1
239,237,221,,1
239,237,221,,1
239,237,221,,1
238,235,220,,1
238,235,220,,1
238,235,220,,1
238,235,220,,1
238,235,221,,1
238,235,222,,1
238,235,222,,1
238,235,221,,1
238,235,220,,1
239,236,220,,1
239,236,220,,1
238,235,218,,1
237,234,217,,1
239,233,214,,1
240,232,211,,1
239,232,210,,1
239,231,210,,1
239,231,210,,1
240,232,211,,1
240,231,210,,1
239,230,210,,1
239,230,209,,1
239,230,212,,1
239,231,214,,1
240,231,215,,1
241,233,216,,1
242,234,217,,1
240,231,215,,1
240,231,215,,1
240,232,215,,1
240,232,215,,1
240,233,215,,1
238,234,216,,1
238,234,216,,1
238,234,216,,1
238,234,216,,1
238,234,216,,1
238,234,216,,1
238,234,216,,1
238,234,216,,1
238,234,215,,1
239,236,215,,1
239,236,215,,1
239,236,216,,1
238,235,217,,1
237,236,218,,1
237,235,219,,1
236,234,220,,1
236,234,220,,1
236,234,221,,1
238,233,221,,1
239,233,219,,1
239,232,215,,1
237,231,209,,1
235,228,204,,1
234,227,202,,1
236,227,202,,1
238,228,205,,1
240,229,209,,1
237,227,211,,1
236,227,207,,1
237,228,203,,1
231,221,189,,0
218,205,169,,0
205,188,149,,0
181,159,119,,0
231,225,201,,0
232,226,200,,1
234,227,201,,1
236,226,202,,1
235,222,203,,0
232,219,201,,0
240,227,211,,1
239,228,211,,1
237,230,214,,1
238,232,218,,1
235,233,218,,1
233,234,220,,1
233,233,221,,1
236,235,217,,1
237,234,215,,1
238,234,215,,1
239,234,215,,1
239,234,214,,1
239,233,211,,1
239,233,211,,1
240,232,209,,1
240,232,209,,1
241,231,207,,1
241,231,206,,1
242,232,208,,1
243,232,210,,1
241,233,210,,1
238,232,210,,1
238,231,212,,1
238,233,213,,1
240,235,215,,1
239,236,217,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
238,235,218,,1
237,234,217,,1
237,234,214,,1
239,233,211,,1
239,233,211,,1
239,233,211,,1
240,232,211,,1
240,232,211,,1
241,230,210,,1
240,229,209,,1
242,230,211,,1
242,231,213,,1
239,232,216,,1
240,233,217,,1
240,233,217,,1
241,234,218,,1
239,232,216,,1
239,232,216,,1
240,233,217,,1
241,234,218,,1
241,234,218,,1
240,233,217,,1
240,233,217,,1
240,233,217,,1
239,233,217,,1
239,233,217,,1
240,233,217,,1
240,233,217,,1
240,233,217,,1
240,233,215,,1
239,232,213,,1
240,233,215,,1
239,234,215,,1
240,234,218,,1
238,235,218,,1
237,235,219,,1
237,235,220,,1
237,235,220,,1
237,235,222,,1
238,234,225,,1
239,232,222,,1
239,233,220,,1
239,232,216,,1
237,230,211,,1
234,227,204,,1
232,225,199,,0
235,228,200,,1
240,231,203,,1
240,228,205,,1
238,228,206,,1
236,230,206,,1
230,229,201,,1
246,241,212,,1
212,200,168,,0
196,177,141,,0
234,228,204,,1
233,227,203,,1
236,229,203,,1
234,223,199,,0
233,219,200,,0
234,221,204,,0
238,226,209,,1
237,228,212,,1
236,229,213,,1
239,233,217,,1
237,234,219,,1
235,234,221,,1
234,235,221,,1
236,235,217,,1
237,234,215,,1
238,234,215,,1
239,234,215,,1
239,234,214,,1
239,233,211,,1
239,233,211,,1
240,232,209,,1
240,232,209,,1
241,231,207,,1
241,231,206,,1
242,232,208,,1
243,232,210,,1
241,233,210,,1
240,234,212,,1
240,233,214,,1
239,234,214,,1
238,233,213,,1
239,235,216,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
238,235,218,,1
238,235,218,,1
238,235,218,,1
238,235,218,,1
238,234,215,,1
239,234,214,,1
239,234,214,,1
240,233,214,,1
240,233,214,,1
241,233,214,,1
241,230,212,,1
241,230,212,,1
241,230,212,,1
241,233,214,,1
240,233,217,,1
240,233,217,,1
240,233,217,,1
240,233,217,,1
240,233,217,,1
240,233,217,,1
240,233,217,,1
240,233,217,,1
240,233,217,,1
239,232,216,,1
240,233,217,,1
240,233,217,,1
240,234,218,,1
240,234,218,,1
241,234,218,,1
241,234,218,,1
241,234,218,,1
241,234,216,,1
239,232,213,,1
240,233,215,,1
239,234,215,,1
240,234,218,,1
238,235,218,,1
237,235,219,,1
237,235,220,,1
237,235,220,,1
237,235,222,,1
239,235,226,,1
239,235,224,,1
240,234,221,,1
240,234,218,,1
239,232,213,,1
237,230,207,,1
235,227,203,,1
233,226,198,,1
234,227,199,,1
238,228,203,,1
237,229,206,,1
236,230,206,,1
233,229,202,,1
235,231,201,,1
210,199,167,,0
196,178,144,,0
208,182,147,,0
237,229,208,,1
234,228,206,,1
234,228,204,,1
235,226,203,,1
232,221,197,,0
230,219,201,,0
236,224,208,,1
236,226,209,,1
237,230,213,,1
236,230,214,,1
239,234,218,,1
238,235,220,,1
237,235,220,,1
235,235,220,,1
237,234,217,,1
237,234,215,,1
238,234,215,,1
239,234,215,,1
239,234,214,,1
239,233,211,,1
239,233,211,,1
240,232,209,,1
240,232,209,,1
241,231,207,,1
241,231,206,,1
242,232,208,,1
243,232,210,,1
241,233,210,,1
240,234,212,,1
240,233,214,,1
240,235,215,,1
240,235,215,,1
239,236,217,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
237,234,217,,1
238,235,218,,1
238,235,218,,1
238,235,218,,1
239,235,218,,1
240,235,215,,1
240,235,215,,1
240,234,215,,1
241,234,215,,1
241,233,214,,1
240,232,213,,1
240,230,212,,1
242,231,213,,1
241,233,216,,1
240,234,218,,1
239,233,217,,1
239,233,217,,1
238,232,216,,1
240,234,218,,1
239,233,217,,1
239,233,217,,1
239,233,217,,1
238,232,216,,1
238,231,215,,1
240,233,217,,1
240,233,217,,1
241,235,219,,1
241,235,219,,1
241,235,219,,1
242,235,219,,1
242,235,219,,1
241,234,217,,1
239,232,213,,1
240,233,215,,1
239,234,215,,1
240,234,218,,1
238,235,218,,1
237,235,219,,1
237,235,220,,1
237,235,220,,1
237,235,222,,1
240,236,227,,1
239,235,224,,1
239,235,222,,1
240,234,219,,1
239,234,216,,1
238,232,211,,1
235,229,205,,1
234,227,200,,1
233,225,199,,1
237,226,202,,1
237,229,203,,1
236,230,206,,1
234,230,203,,1
234,227,200,,1
240,229,199,,1
232,215,182,,0
198,175,140,,0
185,157,120,,0
236,229,209,,1
231,226,204,,1
235,229,207,,1
232,223,200,,0
231,219,198,,0
229,218,202,,0
237,229,213,,1
235,228,212,,1
238,232,216,,1
238,232,216,,1
238,235,218,,1
237,236,218,,1
237,236,218,,1
237,235,219,,1
237,234,216,,1
237,234,215,,1
238,234,215,,1
239,234,215,,1
239,234,214,,1
239,233,211,,1
239,233,211,,1
240,232,209,,1
240,232,209,,1
241,231,207,,1
241,231,206,,1
242,232,208,,1
243,232,210,,1
241,233,210,,1
239,233,211,,1
240,233,214,,1
241,236,216,,1
241,236,216,,1
240,236,218,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
237,234,217,,1
237,234,217,,1
238,235,218,,1
239,236,219,,1
239,236,218,,1
238,235,216,,1
239,235,216,,1
240,235,216,,1
240,235,216,,1
241,234,216,,1
240,232,214,,1
240,231,214,,1
241,232,215,,1
241,234,217,,1
240,234,218,,1
239,233,217,,1
238,232,216,,1
238,232,216,,1
240,234,218,,1
240,234,218,,1
239,233,217,,1
238,232,216,,1
238,232,216,,1
238,231,215,,1
239,232,216,,1
240,233,217,,1
241,235,219,,1
241,235,219,,1
242,235,219,,1
242,235,219,,1
242,235,219,,1
242,235,218,,1
239,232,213,,1
240,233,215,,1
239,234,215,,1
240,234,218,,1
238,235,218,,1
237,235,219,,1
237,235,220,,1
237,235,220,,1
237,235,222,,1
238,236,224,,1
238,236,224,,1
238,234,222,,1
238,235,219,,1
239,234,215,,1
238,232,213,,1
236,230,209,,1
234,228,205,,1
233,226,201,,1
236,226,201,,1
236,229,203,,1
236,230,206,,1
236,230,206,,1
234,228,201,,1
235,224,196,,0
239,224,193,,1
215,195,161,,0
192,167,132,,0
196,165,131,,0
237,224,207,,1
239,232,213,,1
234,229,209,,1
240,233,212,,1
239,228,208,,1
235,224,202,,1
235,228,212,,1
236,230,214,,1
237,231,215,,1
236,231,215,,1
234,231,214,,1
237,234,217,,1
236,235,217,,1
236,235,217,,1
236,235,216,,1
237,234,215,,1
237,234,215,,1
238,234,215,,1
239,234,215,,1
239,234,214,,1
241,235,213,,1
240,234,212,,1
241,233,210,,1
240,232,209,,1
238,229,204,,1
239,229,204,,1
239,229,205,,1
241,230,208,,1
239,231,208,,1
238,232,210,,1
239,232,213,,1
239,234,214,,1
241,236,216,,1
240,236,218,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
241,238,221,,1
241,238,221,,1
240,237,220,,1
239,236,219,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
238,235,218,,1
237,234,217,,1
239,236,219,,1
240,237,219,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
241,236,217,,1
240,235,216,,1
241,234,216,,1
242,233,216,,1
242,233,216,,1
241,234,217,,1
238,235,218,,1
238,235,218,,1
238,235,218,,1
238,235,218,,1
238,235,218,,1
238,235,218,,1
238,235,218,,1
238,235,218,,1
240,234,218,,1
241,234,218,,1
241,234,218,,1
241,234,218,,1
240,234,218,,1
241,235,219,,1
242,235,219,,1
241,234,218,,1
240,233,217,,1
240,233,216,,1
239,232,213,,1
240,233,215,,1
240,235,216,,1
242,236,220,,1
238,235,218,,1
237,235,219,,1
237,235,220,,1
237,235,220,,1
237,235,222,,1
238,236,224,,1
238,236,224,,1
238,236,223,,1
239,236,221,,1
237,234,217,,1
238,233,215,,1
237,232,213,,1
237,232,212,,1
237,231,209,,1
233,226,198,,1
231,224,198,,0
235,227,204,,1
238,230,207,,1
238,228,204,,1
239,228,201,,1
236,222,193,,0
243,227,195,,1
209,188,154,,0
198,171,136,,0
235,217,205,,0
236,224,209,,1
238,231,213,,1
236,231,211,,1
239,231,212,,1
237,226,206,,1
234,221,202,,0
235,227,214,,1
234,230,216,,1
236,232,217,,1
235,232,216,,1
233,232,214,,1
236,235,217,,1
236,235,215,,1
236,235,215,,1
236,235,215,,1
238,235,216,,1
238,235,216,,1
239,235,216,,1
240,235,216,,1
240,235,215,,1
240,234,212,,1
239,233,211,,1
238,230,207,,1
236,228,205,,1
238,228,203,,1
239,229,204,,1
239,229,205,,1
240,229,207,,1
238,230,207,,1
238,232,210,,1
239,232,213,,1
239,234,214,,1
241,236,216,,1
240,236,218,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
241,238,221,,1
241,238,221,,1
240,237,220,,1
239,236,219,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
234,231,214,,1
236,233,216,,1
239,236,219,,1
240,237,220,,1
239,237,220,,1
238,237,219,,1
238,237,219,,1
239,236,219,,1
239,236,219,,1
240,234,218,,1
240,234,218,,1
241,234,218,,1
241,234,218,,1
241,234,218,,1
238,235,218,,1
237,236,218,,1
237,236,218,,1
237,236,218,,1
237,236,218,,1
237,236,218,,1
237,236,218,,1
237,236,218,,1
238,235,218,,1
241,234,218,,1
241,234,218,,1
241,234,218,,1
240,234,218,,1
241,235,219,,1
242,235,219,,1
241,234,218,,1
240,233,217,,1
240,233,217,,1
239,232,213,,1
241,234,216,,1
240,235,216,,1
242,236,220,,1
238,235,218,,1
237,235,219,,1
237,235,220,,1
237,235,220,,1
237,235,222,,1
236,236,224,,1
236,237,223,,1
238,236,223,,1
238,236,221,,1
238,235,220,,1
237,234,218,,1
238,234,217,,1
238,233,214,,1
239,232,213,,1
233,226,199,,1
230,223,197,,0
233,225,202,,1
238,230,207,,1
235,225,203,,1
239,228,203,,1
235,224,196,,0
241,228,196,,1
220,205,172,,0
208,183,149,,0
234,218,205,,0
235,225,209,,1
233,228,209,,1
238,233,214,,1
235,228,209,,1
233,222,203,,0
235,221,204,,0
234,230,215,,1
234,232,218,,1
236,233,219,,1
235,233,217,,1
234,233,215,,1
236,235,217,,1
236,235,215,,1
237,235,214,,1
237,235,214,,1
239,236,217,,1
239,236,217,,1
240,236,217,,1
241,236,217,,1
241,236,216,,1
242,236,214,,1
240,234,212,,1
239,231,208,,1
238,230,207,,1
239,230,205,,1
240,230,205,,1
239,229,205,,1
239,228,206,,1
237,229,206,,1
238,232,210,,1
239,232,213,,1
239,234,214,,1
241,236,216,,1
240,236,218,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
241,238,221,,1
241,238,221,,1
240,237,220,,1
239,236,219,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
232,229,212,,1
236,233,216,,1
240,237,220,,1
240,237,220,,1
239,236,219,,1
238,237,219,,1
238,237,219,,1
238,237,219,,1
239,236,219,,1
240,236,219,,1
241,235,219,,1
242,235,219,,1
242,235,219,,1
240,235,219,,1
237,236,218,,1
237,236,218,,1
237,236,218,,1
237,236,218,,1
237,236,218,,1
237,236,218,,1
237,236,218,,1
237,236,218,,1
238,235,218,,1
241,234,218,,1
241,234,218,,1
241,234,218,,1
240,234,218,,1
241,235,219,,1
242,235,219,,1
241,234,218,,1
240,233,217,,1
240,233,216,,1
240,233,214,,1
241,234,216,,1
240,235,216,,1
241,235,219,,1
238,235,218,,1
237,235,219,,1
237,235,220,,1
237,235,220,,1
237,235,222,,1
236,237,223,,1
236,237,223,,1
237,237,223,,1
238,236,221,,1
238,236,221,,1
238,236,220,,1
238,235,219,,1
238,234,218,,1
239,234,214,,1
238,233,205,,1
232,225,199,,0
230,222,199,,0
232,222,201,,0
232,221,200,,0
239,228,205,,1
237,226,199,,1
238,229,199,,1
234,221,189,,0
205,181,150,,0
223,200,191,,0
234,219,206,,0
236,228,212,,1
236,231,213,,1
236,232,213,,1
232,225,205,,1
230,220,202,,0
238,224,207,,1
233,230,216,,1
232,233,219,,1
235,235,220,,1
235,234,219,,1
235,234,216,,1
236,235,216,,1
236,235,215,,1
237,235,214,,1
237,235,213,,1
238,235,216,,1
238,235,216,,1
239,235,216,,1
240,235,216,,1
240,235,215,,1
240,234,212,,1
240,234,212,,1
241,233,210,,1
241,233,210,,1
241,232,207,,1
241,231,206,,1
240,230,206,,1
240,230,207,,1
238,230,207,,1
238,232,210,,1
239,232,213,,1
239,234,214,,1
241,236,216,,1
240,236,218,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
241,238,221,,1
241,238,221,,1
240,237,220,,1
239,236,219,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
236,233,216,,1
237,234,217,,1
238,235,218,,1
240,237,220,,1
239,237,220,,1
237,237,219,,1
238,237,219,,1
238,237,219,,1
239,236,219,,1
240,237,220,,1
242,236,220,,1
242,236,220,,1
243,236,220,,1
241,236,219,,1
237,236,218,,1
237,236,218,,1
237,236,218,,1
237,236,218,,1
237,236,218,,1
237,236,218,,1
237,236,218,,1
237,236,218,,1
238,235,218,,1
241,234,218,,1
241,234,218,,1
241,234,218,,1
240,234,218,,1
241,235,219,,1
242,235,219,,1
241,234,218,,1
240,233,217,,1
240,233,216,,1
241,234,215,,1
241,234,216,,1
240,235,216,,1
240,234,218,,1
238,235,218,,1
237,235,219,,1
237,235,220,,1
237,235,220,,1
237,235,222,,1
236,237,223,,1
236,237,223,,1
236,237,223,,1
237,236,222,,1
238,236,221,,1
238,236,221,,1
238,235,220,,1
237,234,219,,1
239,234,215,,1
240,235,207,,1
236,229,202,,1
233,225,202,,1
230,219,199,,0
232,221,200,,0
238,228,204,,1
237,228,202,,1
236,228,199,,1
234,223,191,,0
210,189,157,,0
193,173,137,,0
202,170,156,,0
222,197,184,,0
227,211,195,,0
231,223,205,,0
234,229,210,,1
237,230,212,,1
231,222,204,,0
230,219,201,,0
237,227,210,,1
235,231,218,,1
234,234,220,,1
235,235,221,,1
236,234,219,,1
236,234,216,,1
236,235,216,,1
236,235,215,,1
237,235,214,,1
237,235,213,,1
237,234,215,,1
238,234,215,,1
239,234,215,,1
239,234,215,,1
239,234,214,,1
236,230,208,,1
237,231,209,,1
239,231,208,,1
240,233,210,,1
242,233,208,,1
243,233,208,,1
242,232,208,,1
241,230,208,,1
239,231,208,,1
238,232,210,,1
240,233,214,,1
240,235,215,,1
241,236,216,,1
240,236,217,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
241,238,220,,1
241,238,220,,1
240,237,220,,1
239,236,219,,1
240,237,219,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
240,237,219,,1
238,235,218,,1
237,234,217,,1
239,236,219,,1
240,237,220,,1
239,237,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
240,236,219,,1
241,235,219,,1
242,236,219,,1
242,236,219,,1
241,236,219,,1
237,236,218,,1
237,236,218,,1
237,236,218,,1
237,236,218,,1
237,236,218,,1
237,236,218,,1
237,236,218,,1
237,236,218,,1
238,235,218,,1
240,234,218,,1
240,234,218,,1
240,234,218,,1
240,234,218,,1
240,235,219,,1
240,235,219,,1
240,234,218,,1
239,233,217,,1
239,233,217,,1
240,235,217,,1
240,235,217,,1
240,235,218,,1
240,234,219,,1
238,235,218,,1
237,235,219,,1
237,235,220,,1
237,235,220,,1
237,235,222,,1
236,237,222,,1
236,237,222,,1
237,237,223,,1
237,237,223,,1
237,235,221,,1
237,235,220,,1
237,234,219,,1
237,234,219,,1
236,233,215,,1
236,231,207,,1
235,229,205,,1
235,228,206,,1
232,224,203,,0
232,222,201,,0
239,228,204,,1
239,229,203,,1
237,226,199,,1
231,220,189,,0
223,206,171,,0
199,181,144,,0
203,183,141,,0
204,169,147,,0
207,179,158,,0
228,211,188,,0
233,226,203,,1
235,227,206,,1
239,226,210,,1
231,217,202,,0
230,220,203,,0
236,231,213,,1
238,235,220,,1
238,235,220,,1
238,235,220,,1
238,235,219,,1
238,235,218,,1
237,234,217,,1
237,234,215,,1
237,234,215,,1
237,235,214,,1
238,233,214,,1
239,232,214,,1
239,232,214,,1
239,232,214,,1
238,233,213,,1
235,230,208,,1
237,231,209,,1
237,231,207,,1
238,232,208,,1
239,232,206,,1
241,231,206,,1
241,231,207,,1
241,230,208,,1
239,231,208,,1
238,232,210,,1
240,233,214,,1
240,235,215,,1
239,234,214,,1
239,235,216,,1
238,235,218,,1
237,234,217,,1
239,236,219,,1
241,238,221,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,219,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,219,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,219,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
240,236,217,,1
242,235,217,,1
242,235,217,,1
242,235,217,,1
241,236,217,,1
239,234,215,,1
240,233,215,,1
241,234,216,,1
242,235,217,,1
240,236,218,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
238,235,218,,1
238,235,218,,1
238,235,218,,1
238,235,218,,1
238,235,218,,1
238,235,218,,1
238,235,218,,1
238,235,218,,1
238,235,218,,1
238,235,220,,1
239,236,221,,1
238,235,220,,1
238,235,220,,1
238,235,220,,1
238,235,220,,1
238,235,220,,1
238,235,220,,1
238,235,220,,1
237,235,220,,1
237,235,220,,1
238,236,221,,1
239,237,222,,1
237,235,220,,1
237,235,220,,1
237,235,220,,1
237,235,220,,1
237,235,220,,1
236,233,214,,1
228,225,206,,0
230,225,205,,0
233,227,205,,1
226,219,196,,0
236,224,201,,1
239,226,200,,1
239,225,199,,1
223,209,181,,0
228,214,178,,0
214,197,158,,0
204,182,141,,0
209,182,140,,0
189,154,134,,0
204,176,155,,0
226,209,186,,0
234,225,201,,1
235,226,206,,1
234,221,204,,0
227,213,197,,0
233,223,207,,0
238,234,215,,1
237,234,219,,1
237,234,220,,1
237,234,219,,1
237,234,219,,1
237,234,217,,1
237,234,217,,1
237,234,215,,1
237,234,215,,1
237,235,214,,1
237,232,213,,1
238,231,213,,1
238,231,213,,1
238,231,213,,1
237,232,212,,1
237,232,210,,1
238,232,210,,1
238,232,208,,1
238,232,208,,1
239,231,206,,1
240,230,205,,1
240,230,206,,1
240,229,207,,1
238,230,207,,1
239,233,211,,1
241,234,215,,1
241,236,216,,1
240,235,215,,1
239,235,216,,1
238,235,218,,1
238,235,218,,1
239,236,219,,1
240,237,220,,1
241,238,221,,1
241,238,221,,1
241,238,221,,1
241,238,221,,1
240,237,219,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,219,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,220,,1
240,237,219,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
240,237,218,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
239,236,217,,1
240,236,217,,1
242,235,217,,1
242,235,217,,1
242,235,217,,1
241,236,217,,1
240,235,216,,1
241,234,216,,1
241,234,216,,1
241,234,216,,1
240,235,217,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
238,235,218,,1
238,235,218,,1
238,235,218,,1
238,235,218,,1
238,235,218,,1
238,235,218,,1
238,235,218,,1
238,235,218,,1
238,235,218,,1
236,233,218,,1
237,234,219,,1
237,234,219,,1
239,236,221,,1
238,235,220,,1
238,235,220,,1
238,235,220,,1
238,235,220,,1
238,235,220,,1
238,236,221,,1
238,236,221,,1
238,236,221,,1
238,236,221,,1
237,235,220,,1
237,235,220,,1
237,235,220,,1
237,235,220,,1
237,235,220,,1
236,233,216,,1
232,229,210,,1
233,228,208,,1
234,228,206,,1
230,222,200,,0
232,223,199,,0
238,226,201,,1
238,226,200,,1
224,210,182,,0
233,219,185,,0
216,199,162,,0
205,185,143,,0
203,178,136,,0
176,143,122,,0
196,161,142,,0
215,188,167,,0
227,211,187,,0
231,223,197,,0
232,222,199,,0
229,213,196,,0
226,209,193,,0
235,224,208,,1
238,232,216,,1
236,233,218,,1
236,233,219,,1
236,233,218,,1
236,233,218,,1
236,233,216,,1
237,234,217,,1
237,234,215,,1
237,234,215,,1
237,235,214,,1
238,232,214,,1
239,232,214,,1
239,232,214,,1
238,232,213,,1
238,233,213,,1
238,233,211,,1
239,233,211,,1
238,232,208,,1
238,232,208,,1
239,231,206,,1
241,231,206,,1
241,230,206,,1
240,230,208,,1
239,231,208,,1
238,232,210,,1
241,234,215,,1
243,238,218,,1
243,238,218,,1
239,236,217,,1
