R,G,B,,Class
229,210,176,,0
236,217,184,,0
235,216,184,,0
238,218,187,,0
239,220,189,,0
240,220,189,,0
237,217,186,,0
237,218,186,,0
238,217,185,,0
231,210,177,,0
231,210,175,,0
229,207,172,,0
228,206,169,,0
232,208,171,,0
232,210,170,,0
217,196,152,,0
212,187,146,,0
207,178,142,,0
188,157,126,,0
160,130,102,,0
127,94,84,,0
156,125,111,,0
176,149,128,,0
208,184,158,,0
223,202,173,,0
226,208,175,,0
228,213,182,,0
231,216,186,,0
235,219,187,,0
234,219,185,,0
236,220,187,,0
232,216,182,,0
236,220,186,,0
234,218,185,,0
232,216,182,,0
229,213,179,,0
227,212,177,,0
226,211,174,,0
227,211,173,,0
225,210,174,,0
225,211,176,,0
230,216,185,,0
231,221,194,,0
231,222,198,,0
233,225,203,,1
233,227,206,,1
234,227,206,,1
234,227,206,,1
234,227,205,,1
234,227,205,,1
234,227,205,,1
236,229,207,,1
236,229,207,,1
236,229,207,,1
236,229,207,,1
236,229,208,,1
237,229,209,,1
240,230,210,,1
238,228,207,,1
237,226,205,,1
238,226,203,,1
237,225,202,,1
237,223,198,,0
236,222,197,,0
236,220,195,,0
230,213,186,,0
226,209,182,,0
234,217,190,,0
236,219,192,,0
236,219,191,,0
235,218,191,,0
234,217,190,,0
234,217,189,,0
234,217,187,,0
233,216,184,,0
229,212,180,,0
228,211,179,,0
230,213,181,,0
225,209,176,,0
227,210,178,,0
230,213,181,,0
233,216,184,,0
235,217,185,,0
237,218,186,,0
238,219,187,,0
236,217,185,,0
232,213,181,,0
231,212,180,,0
234,215,183,,0
235,216,184,,0
234,215,183,,0
231,215,181,,0
227,213,174,,0
222,202,163,,0
210,183,146,,0
198,164,128,,0
196,160,127,,0
180,147,115,,0
183,154,125,,0
159,136,109,,0
117,91,84,,0
145,113,101,,0
188,159,142,,0
223,196,175,,0
233,209,183,,0
226,205,176,,0
232,213,181,,0
236,219,189,,0
235,220,191,,0
237,223,190,,0
234,220,185,,0
232,218,183,,0
226,212,177,,0
229,215,181,,0
224,209,176,,0
226,211,179,,0
229,214,184,,0
232,217,186,,0
233,217,184,,0
230,214,180,,0
226,211,179,,0
229,216,184,,0
233,222,194,,0
235,225,200,,1
234,226,204,,1
234,227,209,,1
236,229,211,,1
237,230,212,,1
237,230,212,,1
237,230,212,,1
237,230,212,,1
237,230,212,,1
238,231,213,,1
238,231,213,,1
238,231,213,,1
238,231,213,,1
238,231,212,,1
237,232,213,,1
239,232,213,,1
237,230,212,,1
236,229,209,,1
237,228,207,,1
238,227,206,,1
237,226,205,,1
236,226,202,,1
237,225,200,,1
240,226,200,,1
242,228,202,,1
239,225,200,,1
238,224,199,,1
238,224,199,,1
238,224,199,,1
237,223,198,,0
237,223,198,,0
238,224,197,,1
238,224,195,,1
234,220,191,,0
232,218,189,,0
232,218,189,,0
229,215,186,,0
230,216,187,,0
230,216,188,,0
231,217,188,,0
231,216,186,,0
235,216,185,,0
238,219,188,,0
234,215,183,,0
233,215,183,,0
235,216,185,,0
237,218,186,,0
237,218,187,,0
236,218,186,,0
233,217,184,,0
229,215,179,,0
224,206,169,,0
215,191,154,,0
206,175,140,,0
199,166,133,,0
206,175,145,,0
205,179,149,,0
183,160,133,,0
143,123,98,,0
136,115,91,,0
123,103,81,,0
88,72,68,,0
126,106,99,,0
153,125,115,,0
194,165,150,,0
221,193,174,,0
227,203,179,,0
224,203,174,,0
232,213,181,,0
237,218,186,,0
238,221,191,,0
237,222,193,,0
237,223,189,,0
233,219,182,,0
230,216,180,,0
225,211,176,,0
229,214,181,,0
232,217,187,,0
238,222,194,,0
239,223,197,,1
235,219,194,,0
233,218,189,,0
230,214,186,,0
230,215,188,,0
237,223,197,,0
239,227,204,,1
237,228,208,,1
237,229,210,,1
237,230,214,,1
238,231,215,,1
239,232,216,,1
239,233,217,,1
239,233,217,,1
239,233,217,,1
239,233,217,,1
239,233,217,,1
239,233,217,,1
239,233,217,,1
239,233,217,,1
238,233,217,,1
237,234,217,,1
238,235,218,,1
239,233,217,,1
237,231,213,,1
237,231,212,,1
237,230,211,,1
237,230,211,,1
237,231,209,,1
239,230,209,,1
241,230,207,,1
238,227,205,,1
237,226,204,,1
240,229,207,,1
239,228,206,,1
239,228,206,,1
240,228,206,,1
240,229,207,,1
239,228,205,,1
238,228,202,,1
238,227,202,,1
238,227,202,,1
239,228,203,,1
235,225,200,,1
234,224,198,,0
231,221,196,,0
229,218,193,,0
230,217,191,,0
236,219,191,,0
235,218,190,,0
233,216,188,,0
233,216,188,,0
233,216,188,,0
235,218,190,,0
238,221,193,,0
238,221,193,,0
236,221,191,,0
234,221,187,,0
234,216,183,,0
